shipname|shipaddress|shipcity|shipregion|shippostalcode|shipcountry|customerid|customername|address|city|region|postalcode|country|salesperson|orderid|orderdate|requireddate|shippeddate|shippername|productid|productname|unitprice|quantity|discount|extendedprice|freight,,
Hanari Carnes|Rua do Pao," 67|Rio de Janeiro|RJ|""05454-876""|Brazil|HANAR|Hanari Carnes|Rua do Pao"," 67|Rio de Janeiro|RJ|""05454-876""|Brazil|0.0|10690|""1997-10-02 00:00:00""|""1997-10-30 00:00:00""|""1997-10-03 00:00:00""|Speedy Express|77|Original Frankfurter grne Soe|13.0000|30|0.0|390.0|15.8000"
"Franchi S.p.A.|Via Monte Bianco 34|Torino||""10100""|Italy|FRANS|Franchi S.p.A.|Via Monte Bianco 34|Torino||""10100""|Italy|0.0|10710|""1997-10-20 00:00:00""|""1997-11-17 00:00:00""|""1997-10-23 00:00:00""|Speedy Express|19|Teatime Chocolate Biscuits|9.2000|5|0.0|46.0|4.9800",,
"Franchi S.p.A.|Via Monte Bianco 34|Torino||""10100""|Italy|FRANS|Franchi S.p.A.|Via Monte Bianco 34|Torino||""10100""|Italy|0.0|10710|""1997-10-20 00:00:00""|""1997-11-17 00:00:00""|""1997-10-23 00:00:00""|Speedy Express|47|Zaanse koeken|9.5000|5|0.0|47.0|4.9800",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10713|""1997-10-22 00:00:00""|""1997-11-19 00:00:00""|""1997-10-24 00:00:00""|Speedy Express|10|Ikura|31.0000|18|0.0|558.0|167.0500",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10713|""1997-10-22 00:00:00""|""1997-11-19 00:00:00""|""1997-10-24 00:00:00""|Speedy Express|26|Gumbr Gummibrchen|31.2300|30|0.0|936.0|167.0500",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10713|""1997-10-22 00:00:00""|""1997-11-19 00:00:00""|""1997-10-24 00:00:00""|Speedy Express|45|Rogede sild|9.5000|110|0.0|1045.0|167.0500",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10713|""1997-10-22 00:00:00""|""1997-11-19 00:00:00""|""1997-10-24 00:00:00""|Speedy Express|46|Spegesild|12.0000|24|0.0|288.0|167.0500",,
Ricardo Adocicados|Av. Copacabana," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|RICAR|Ricardo Adocicados|Av. Copacabana"," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|0.0|10813|""1998-01-05 00:00:00""|""1998-02-02 00:00:00""|""1998-01-09 00:00:00""|Speedy Express|2|Chang|19.0000|12|0.0|228.0|47.3800"
Ricardo Adocicados|Av. Copacabana," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|RICAR|Ricardo Adocicados|Av. Copacabana"," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|0.0|10813|""1998-01-05 00:00:00""|""1998-02-02 00:00:00""|""1998-01-09 00:00:00""|Speedy Express|46|Spegesild|12.0000|35|0.0|420.0|47.3800"
"Split Rail Beer & Ale|P.O. Box 555|Lander|WY|""82520""|USA|SPLIR|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|""82520""|USA|0.0|10821|""1998-01-08 00:00:00""|""1998-02-05 00:00:00""|""1998-01-15 00:00:00""|Speedy Express|35|Steeleye Stout|18.0000|20|0.0|360.0|36.6800",,
